"Dataset","Number of the triple","Time"
"result","1109","1.8161168098449707"
"result","1110","1.816122055053711"
"result","1111","1.8161547183990479"
"result","1112","1.8161671161651611"
"result","1113","1.8161745071411133"
"result","1114","1.8162081241607666"
"result","1115","1.816220760345459"
"result","1116","1.816284418106079"
"result","1117","1.8163261413574219"
"result","1118","1.8163409233093262"
"result","1119","1.816347599029541"
"result","1120","1.8163824081420898"
"result","1121","1.816399335861206"
"result","1122","1.816408634185791"
"result","1123","1.816446304321289"
"result","1124","1.8164596557617188"
"result","1125","1.8164656162261963"
"result","1126","1.816500186920166"
"result","1127","1.8165135383605957"
"result","1128","1.816519021987915"
"result","1129","1.816556692123413"
"result","1130","1.8165693283081055"
"result","1131","1.8165769577026367"
"result","1132","1.816619873046875"
"result","1133","1.816633939743042"
"result","1134","1.8166651725769043"
"result","1135","1.8167052268981934"
"result","1136","1.8167181015014648"
"result","1137","1.8167238235473633"
"result","1138","1.8167576789855957"
"result","1139","1.8167710304260254"
"result","1140","1.8167765140533447"
"result","1141","1.8168096542358398"
"result","1142","1.816821813583374"
"result","1143","1.8168277740478516"
"result","1144","1.8168611526489258"
"result","1145","1.8168737888336182"
"result","1146","1.8168790340423584"
"result","1147","1.8169121742248535"
"result","1148","1.8169238567352295"
"result","1149","1.8169293403625488"
"result","1150","1.8169703483581543"
"result","1151","1.8169875144958496"
"result","1152","1.8169934749603271"
"result","1153","1.8170289993286133"
"result","1154","1.8170421123504639"
"result","1155","1.817047357559204"
"result","1156","1.8170812129974365"
"result","1157","1.817093849182129"
"result","1158","1.8170995712280273"
"result","1159","1.8171327114105225"
"result","1160","1.8171453475952148"
"result","1161","1.817150592803955"
"result","1162","1.8171818256378174"
"result","1163","1.8171966075897217"
"result","1164","1.817209243774414"
"result","1165","1.8172149658203125"
"result","1166","1.8172495365142822"
"result","1167","1.8172624111175537"
"result","1168","1.817267656326294"
"result","1169","1.8173010349273682"
"result","1170","1.8173139095306396"
"result","1171","1.817319393157959"
"result","1172","1.817356824874878"
"result","1173","1.8173699378967285"
"result","1174","1.8173749446868896"
"result","1175","1.817406177520752"
"result","1176","1.8174173831939697"
"result","1177","1.817430019378662"
"result","1178","1.8174355030059814"
"result","1179","1.8174688816070557"
"result","1180","1.8174803256988525"
"result","1181","1.817486047744751"
"result","1182","1.8175196647644043"
"result","1183","1.8175323009490967"
"result","1184","1.817537784576416"
"result","1185","1.817570447921753"
"result","1186","1.817582130432129"
"result","1187","1.81758713722229"
"result","1188","1.817620038986206"
"result","1189","1.8176331520080566"
"result","1190","1.817638874053955"
"result","1191","1.8176722526550293"
"result","1192","1.817685604095459"
"result","1193","1.8176915645599365"
"result","1194","1.8177244663238525"
"result","1195","1.8177378177642822"
"result","1196","1.8177688121795654"
"result","1197","1.8178095817565918"
"result","1198","1.8178231716156006"
"result","1199","1.817828893661499"
"result","1200","1.8178658485412598"
"result","1201","1.8178784847259521"
"result","1202","1.8178837299346924"
"result","1203","1.8179171085357666"
"result","1204","1.8179306983947754"
"result","1205","1.8179364204406738"
"result","1206","1.8179783821105957"
"result","1207","1.8179919719696045"
"result","1208","1.8179974555969238"
"result","1209","1.8180372714996338"
"result","1210","1.8180508613586426"
"result","1211","1.818056344985962"
"result","1212","1.8180906772613525"
"result","1213","1.8181037902832031"
"result","1214","1.8181099891662598"
"result","1215","1.818143367767334"
"result","1216","1.8181557655334473"
"result","1217","1.8181610107421875"
"result","1218","1.8181953430175781"
"result","1219","1.8182075023651123"
"result","1220","1.8182127475738525"
"result","1221","1.8182461261749268"
"result","1222","1.8182587623596191"
"result","1223","1.8182647228240967"
"result","1224","1.818298101425171"
"result","1225","1.8183104991912842"
"result","1226","1.8183159828186035"
"result","1227","1.8183510303497314"
"result","1228","1.8183634281158447"
"result","1229","1.818373203277588"
"result","1230","1.8184070587158203"
"result","1231","1.8184208869934082"
"result","1232","1.818429946899414"
"result","1233","1.818464994430542"
"result","1234","1.8184783458709717"
"result","1235","1.818483591079712"
"result","1236","1.8185172080993652"
"result","1237","1.8185293674468994"
"result","1238","1.818535327911377"
"result","1239","1.8185679912567139"
"result","1240","1.8185803890228271"
"result","1241","1.8185858726501465"
"result","1242","1.8186182975769043"
"result","1243","1.8186314105987549"
"result","1244","1.8186366558074951"
"result","1245","1.8186726570129395"
"result","1246","1.81868577003479"
"result","1247","1.8186917304992676"
"result","1248","1.818725347518921"
"result","1249","1.8187382221221924"
"result","1250","1.8187437057495117"
"result","1251","1.818777322769165"
"result","1252","1.8187899589538574"
"result","1253","1.8187954425811768"
"result","1254","1.8188278675079346"
"result","1255","1.8188409805297852"
"result","1256","1.8188467025756836"
"result","1257","1.818882942199707"
"result","1258","1.8189327716827393"
"result","1259","1.818941354751587"
"result","1260","1.8189795017242432"
"result","1261","1.8189923763275146"
"result","1262","1.818998098373413"
"result","1263","1.8190314769744873"
"result","1264","1.8190441131591797"
"result","1265","1.819049596786499"
"result","1266","1.8190827369689941"
"result","1267","1.8190953731536865"
"result","1268","1.819101095199585"
"result","1269","1.819133996963501"
"result","1270","1.8191463947296143"
"result","1271","1.8191521167755127"
"result","1272","1.8191845417022705"
"result","1273","1.8191983699798584"
"result","1274","1.8192040920257568"
"result","1275","1.8192410469055176"
"result","1276","1.8192594051361084"
"result","1277","1.819265604019165"
"result","1278","1.8244836330413818"
"result","1279","1.8246231079101562"
"result","1280","1.824882984161377"
"result","1281","1.824950933456421"
"result","1282","1.8250439167022705"
"result","1283","1.8251526355743408"
"result","1284","1.8251855373382568"
"result","1285","1.8252317905426025"
"result","1286","1.8252851963043213"
"result","1287","1.8255326747894287"
"result","1288","1.8255996704101562"
"result","1289","1.8256449699401855"
"result","1290","1.8256709575653076"
"result","1291","1.825881004333496"
"result","1292","1.8260340690612793"
"result","1293","1.8261783123016357"
"result","1294","1.826385259628296"
"result","1295","1.8266136646270752"
"result","1296","1.826796054840088"
"result","1297","1.8268699645996094"
"result","1298","1.8268988132476807"
"result","1299","1.8269908428192139"
"result","1300","1.8273985385894775"
